epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,12347.2,1.91398,1.25284,0.96709,0.88664,0.76978,0.84494,0.39214,1.78589,0.96522,0.98141,0.0006304,0.0006304,0.0006304
58,12538,1.95212,1.27194,0.97232,0.88498,0.7501,0.83012,0.37256,1.80422,0.98323,0.97814,0.0006238,0.0006238,0.0006238
59,12721,1.88319,1.22936,0.97004,0.87009,0.77669,0.83099,0.38875,1.74955,0.97017,0.97688,0.0006172,0.0006172,0.0006172
60,12911.1,1.93471,1.28178,0.96442,0.90318,0.76695,0.8413,0.38671,1.74817,0.95606,0.97483,0.0006106,0.0006106,0.0006106
61,13096.7,1.85502,1.18909,0.95617,0.90869,0.77985,0.84903,0.39642,1.76246,0.92649,0.97199,0.000604,0.000604,0.000604
62,13287.7,1.91808,1.21007,0.95691,0.90791,0.8045,0.86371,0.42196,1.72163,0.90562,0.96692,0.0005974,0.0005974,0.0005974
63,13472.3,1.87619,1.16822,0.95887,0.89264,0.79055,0.86647,0.42001,1.71994,0.8962,0.96447,0.0005908,0.0005908,0.0005908
64,13664.3,1.85346,1.12816,0.96169,0.90799,0.77411,0.85656,0.41454,1.70423,0.92883,0.96348,0.0005842,0.0005842,0.0005842
65,13849.6,1.85295,1.1409,0.9557,0.89739,0.79098,0.84676,0.39992,1.72894,0.91231,0.96665,0.0005776,0.0005776,0.0005776
66,14039.8,1.88978,1.18678,0.95077,0.92917,0.77878,0.85632,0.40577,1.76304,0.93207,0.97761,0.000571,0.000571,0.000571
67,14224.8,1.86263,1.17772,0.9548,0.8684,0.81147,0.85451,0.41101,1.70575,0.9057,0.96484,0.0005644,0.0005644,0.0005644
68,14416.4,1.83914,1.1337,0.95081,0.9208,0.79286,0.87005,0.42837,1.68544,0.87503,0.95608,0.0005578,0.0005578,0.0005578
69,14600.1,1.82393,1.12769,0.94327,0.87899,0.79778,0.85027,0.38643,1.79322,0.92547,0.9736,0.0005512,0.0005512,0.0005512
70,14791,1.79194,1.11461,0.95236,0.8977,0.82387,0.8691,0.42819,1.68689,0.87006,0.95988,0.0005446,0.0005446,0.0005446
71,14976.2,1.79718,1.06753,0.94436,0.94046,0.82415,0.88672,0.43927,1.65716,0.84923,0.95483,0.000538,0.000538,0.000538
72,15167.2,1.78772,1.08367,0.95665,0.91011,0.81325,0.88468,0.43577,1.67787,0.86786,0.95665,0.0005314,0.0005314,0.0005314
73,15352.2,1.81511,1.08792,0.94294,0.93814,0.8155,0.87463,0.42195,1.6982,0.88969,0.95976,0.0005248,0.0005248,0.0005248
74,15542.6,1.76955,1.05035,0.9401,0.92837,0.82084,0.87854,0.41094,1.70563,0.86216,0.95767,0.0005182,0.0005182,0.0005182
75,15725.3,1.78716,1.04067,0.95555,0.92394,0.8216,0.88872,0.43146,1.6893,0.83117,0.96156,0.0005116,0.0005116,0.0005116
76,15917,1.77967,1.0394,0.93549,0.92699,0.81961,0.88073,0.40244,1.75919,0.86758,0.96915,0.000505,0.000505,0.000505
77,16100.7,1.78516,1.03755,0.94406,0.92662,0.80154,0.8819,0.43009,1.66277,0.8768,0.95914,0.0004984,0.0004984,0.0004984
78,16290.6,1.75398,1.05784,0.9439,0.91473,0.81554,0.87667,0.41057,1.72092,0.8379,0.96303,0.0004918,0.0004918,0.0004918
79,16475.6,1.75577,1.02616,0.92922,0.95014,0.81334,0.8794,0.42778,1.69825,0.83043,0.95666,0.0004852,0.0004852,0.0004852
80,16666.6,1.76248,1.01683,0.95328,0.93562,0.82243,0.8761,0.4251,1.68975,0.83333,0.95741,0.0004786,0.0004786,0.0004786
81,16850.7,1.75913,1.0221,0.93732,0.89035,0.82381,0.88297,0.41819,1.72986,0.84185,0.96488,0.000472,0.000472,0.000472
82,17040.8,1.77643,1.03056,0.92912,0.93626,0.83894,0.89948,0.44455,1.66369,0.82606,0.95289,0.0004654,0.0004654,0.0004654
83,17224.6,1.73543,0.99605,0.93661,0.93207,0.83204,0.89233,0.44922,1.65612,0.83493,0.9551,0.0004588,0.0004588,0.0004588
84,17415.1,1.7286,1.00494,0.92058,0.94975,0.81919,0.89489,0.45324,1.65411,0.84981,0.95341,0.0004522,0.0004522,0.0004522
85,17598.5,1.72404,0.99984,0.93341,0.94758,0.82812,0.89653,0.44312,1.65702,0.83632,0.95433,0.0004456,0.0004456,0.0004456
86,17788.9,1.72818,0.98933,0.93691,0.92995,0.82691,0.8839,0.42542,1.68722,0.84437,0.95381,0.000439,0.000439,0.000439
87,17973.5,1.72724,1.00043,0.93416,0.91659,0.86745,0.90759,0.44432,1.66255,0.80315,0.94882,0.0004324,0.0004324,0.0004324
88,18167.6,1.66654,0.92866,0.92934,0.9308,0.87583,0.90485,0.45195,1.64857,0.80984,0.94547,0.0004258,0.0004258,0.0004258
89,18381,1.71503,0.99725,0.93097,0.93031,0.8399,0.89382,0.4352,1.65181,0.80528,0.95194,0.0004192,0.0004192,0.0004192
90,18608.2,1.66627,0.95736,0.91916,0.95725,0.84252,0.90552,0.44576,1.63797,0.80915,0.94623,0.0004126,0.0004126,0.0004126
91,18822.6,1.71545,0.99398,0.92655,0.90868,0.83484,0.88457,0.42005,1.69449,0.8413,0.95463,0.000406,0.000406,0.000406
92,19048.7,1.65723,0.94412,0.92669,0.93034,0.85124,0.90707,0.44777,1.65136,0.81544,0.95123,0.0003994,0.0003994,0.0003994
93,19262.9,1.72632,0.99027,0.92252,0.92964,0.847,0.90356,0.4502,1.63775,0.82624,0.94462,0.0003928,0.0003928,0.0003928
94,19489.8,1.70029,0.97805,0.92214,0.90598,0.85339,0.90258,0.45839,1.63434,0.83453,0.94294,0.0003862,0.0003862,0.0003862
95,19704.3,1.68495,0.96127,0.92236,0.9278,0.85174,0.90169,0.44701,1.63628,0.80693,0.94532,0.0003796,0.0003796,0.0003796
96,19930.6,1.67603,0.95093,0.92157,0.94435,0.83512,0.90526,0.44992,1.6599,0.82943,0.94866,0.000373,0.000373,0.000373
